Split,Model,Feature Set,Precision,Recall,F1,AUC
0,Logistic Regression,Case-Level,0.9032400137872927,0.7608087292434494,0.8259287956190001,0.851685730112929
0,Logistic Regression,Fused,0.9031921512323522,0.7609942176020388,0.8260180678595189,0.85279358501652
1,Logistic Regression,Case-Level,0.9028092042186002,0.759397404775922,0.8249166655716019,0.8520658830645306
1,Logistic Regression,Fused,0.902888346026728,0.7600829052315782,0.825354012137559,0.8531008086648914
2,Logistic Regression,Case-Level,0.9061321480797352,0.7595909578457544,0.8264156075475672,0.8547563378825683
2,Logistic Regression,Fused,0.9056723476655997,0.7598409638942878,0.8263721999052748,0.8558329516922868
3,Logistic Regression,Case-Level,0.9046179535901422,0.7602038759002234,0.8261473538446706,0.8531456018934833
3,Logistic Regression,Fused,0.9044359438963828,0.7608167939546925,0.8264331768168758,0.854393814238272
4,Logistic Regression,Case-Level,0.9041043381598995,0.7608732469333935,0.8263280052550909,0.8533493177175038
4,Logistic Regression,Fused,0.9042112927020864,0.7612039000943571,0.8265676517078767,0.854514679345008
5,Logistic Regression,Case-Level,0.9044195978693795,0.759986128696662,0.82593605384939,0.853940468547137
5,Logistic Regression,Fused,0.904183173302894,0.7601958111889804,0.825961235147734,0.8550712559166386
6,Logistic Regression,Case-Level,0.9026563920930455,0.7604700113712428,0.8254852010399979,0.8515008789516332
6,Logistic Regression,Fused,0.9023387451475341,0.7610829294257119,0.8257131982693376,0.8524781992151436
7,Logistic Regression,Case-Level,0.9042444854354008,0.7590586869037154,0.8253151237477256,0.8526750567943566
7,Logistic Regression,Fused,0.9042032297087118,0.7595345048670532,0.825579101926322,0.8537052165712149
8,Logistic Regression,Case-Level,0.9043809815774599,0.7613248707630024,0.8267098695157195,0.8542611472788568
8,Logistic Regression,Fused,0.903952478429722,0.7621232771760608,0.8270010807783355,0.8552044910520991
9,Logistic Regression,Case-Level,0.9046491791338017,0.7612442236505722,0.8267743432980932,0.8537690495141594
9,Logistic Regression,Fused,0.90448916260404,0.7615910062340218,0.8269119630129069,0.854914711743457
0,Decision Tree,Case-Level,0.9211062012809692,0.7480826149019735,0.8256268302017784,0.8619464705817976
0,Decision Tree,Fused,0.9216267866385317,0.7467438728356331,0.8250194907892099,0.8617836848264997
1,Decision Tree,Case-Level,0.9213138962892009,0.7446551126236925,0.8236180859699043,0.8623722370529808
1,Decision Tree,Fused,0.9215801769063355,0.7444615595538602,0.8236060366786668,0.8628581503108254
2,Decision Tree,Case-Level,0.9206888692912137,0.7493326451446406,0.8262195664159064,0.8628961536131531
2,Decision Tree,Fused,0.9233465437237369,0.747824544142197,0.8263680638793707,0.8647565051029389
3,Decision Tree,Case-Level,0.9188071547143124,0.7543811543827673,0.8285149953056633,0.862888958616486
3,Decision Tree,Fused,0.9210552336504044,0.7512278522867488,0.8275182005143672,0.8638132225431114
4,Decision Tree,Case-Level,0.9201442606150784,0.753074671161399,0.8282685825793862,0.8627635883117305
4,Decision Tree,Fused,0.921568821210115,0.7521149705234804,0.8282636304697283,0.8643103253633303
5,Decision Tree,Case-Level,0.9199406895332738,0.7555344080905183,0.8296713515236855,0.8626478686453625
5,Decision Tree,Fused,0.920103702535389,0.7527520827116785,0.8280570082638029,0.8628118741404127
6,Decision Tree,Case-Level,0.9190061721732133,0.755300531464471,0.8291501775074589,0.8619623547602326
6,Decision Tree,Fused,0.9147192305087042,0.762341024379622,0.8316075623081051,0.8615510702586626
7,Decision Tree,Case-Level,0.9187472343773047,0.7535021008572788,0.827960228984634,0.862247160635079
7,Decision Tree,Fused,0.9208130404532353,0.7471390436865408,0.8249342184348663,0.8613106204518094
8,Decision Tree,Case-Level,0.9245831990979382,0.7406388864246716,0.8224515840143289,0.8648211021204714
8,Decision Tree,Fused,0.9218437072435605,0.7498487866641935,0.8269982522380692,0.8646999977036381
9,Decision Tree,Case-Level,0.9199399796641625,0.7515423760252264,0.8272583623322207,0.8629558374733648
9,Decision Tree,Fused,0.9208763495941367,0.7538892069969435,0.8290578203087238,0.8636124035034052
0,Random Forest,Case-Level,0.9133782214998839,0.7931482213279354,0.8490279360475155,0.8804635079456218
0,Random Forest,Fused,0.907845789651674,0.8226892586110954,0.8631723239254875,0.8891145072214741
1,Random Forest,Case-Level,0.9135297632384793,0.7891319951289144,0.8467865812235785,0.8807089285316072
1,Random Forest,Fused,0.907385676694403,0.8231650765744333,0.8632259974205552,0.8897214062951609
2,Random Forest,Case-Level,0.9164416960140493,0.791196561207126,0.8492261348291265,0.8828911663907234
2,Random Forest,Fused,0.9091741406743051,0.8248828600691952,0.8649798306962426,0.8914438257691538
3,Random Forest,Case-Level,0.9137298499166203,0.7954063404759792,0.8504723265369475,0.8811000074531237
3,Random Forest,Fused,0.9084495137770581,0.8234634708904248,0.8638713334517797,0.8893137486103393
4,Random Forest,Case-Level,0.9141399118811697,0.7931240271942063,0.8493429887856844,0.8814930782310494
4,Random Forest,Fused,0.9080847737649003,0.8244876892182875,0.8642694406519598,0.8901355419832975
5,Random Forest,Case-Level,0.9143705904196063,0.7943417985919015,0.8501404730770724,0.8819501300665213
5,Random Forest,Fused,0.9081914506230405,0.8246651128656338,0.8644152331036815,0.8905909565160801
6,Random Forest,Case-Level,0.9135639411047967,0.7921159382888295,0.8485162627964234,0.8799793851801603
6,Random Forest,Fused,0.9072088823252048,0.8223827995838608,0.8627157360406091,0.8881052057595519
7,Random Forest,Case-Level,0.9126465545205987,0.794132116099583,0.8492746623428148,0.8806781909649183
7,Random Forest,Fused,0.9083282761574983,0.8208263103139593,0.8623633228694042,0.8888949721021151
8,Random Forest,Case-Level,0.914838457893123,0.7940030807196948,0.8501485216910749,0.8823771471964779
8,Random Forest,Fused,0.9085737108369575,0.8255764252360944,0.8650889224099685,0.8909669785772014
9,Random Forest,Case-Level,0.9136255748405281,0.794696645886594,0.85002134973453,0.8811798392715776
9,Random Forest,Fused,0.9089090424113097,0.8244151068171004,0.8646026718315875,0.8902825092240398
0,XGBoost,Case-Level,0.9228890640924562,0.7740993733719365,0.8419713775695934,0.8837145994867991
0,XGBoost,Fused,0.9237236377516939,0.7806398541900207,0.846175700542426,0.8882596609468751
1,XGBoost,Case-Level,0.9222595078299777,0.7713251127043396,0.8400665785394004,0.8839084084974141
1,XGBoost,Fused,0.9232154488677727,0.777276869601684,0.8439838348811041,0.8878327304057924
2,XGBoost,Case-Level,0.9243492903536203,0.7747203561376484,0.8429462710927422,0.8861628766244257
2,XGBoost,Fused,0.9250275001195657,0.7799140301781494,0.846295210508353,0.8901266294974908
3,XGBoost,Case-Level,0.9235229075525215,0.7746235796027323,0.8425452408312207,0.8847345879208522
3,XGBoost,Fused,0.9238826815642458,0.7788817471390437,0.8452083506539537,0.8883696559097058
4,XGBoost,Case-Level,0.9235707469419624,0.772712243038138,0.8414332133134276,0.8846296744522331
4,XGBoost,Fused,0.9231392743050589,0.7807043718799649,0.8459683127823754,0.8887436763546256
5,XGBoost,Case-Level,0.9235258487246296,0.7746558384477044,0.8425655465207056,0.8852832138536877
5,XGBoost,Fused,0.9237321351751828,0.7792688532787083,0.8453731813369961,0.8887354064535178
6,XGBoost,Case-Level,0.9224446583253127,0.7729380549529424,0.841099268529204,0.8836294473325061
6,XGBoost,Fused,0.9225618854497456,0.7778575288111809,0.8440525935811328,0.8873323374426063
7,XGBoost,Case-Level,0.9237712363980749,0.7709057477197029,0.8404440048356963,0.8842817261592388
7,XGBoost,Fused,0.9231364826887415,0.7788333588715856,0.8448674823171238,0.8875678917378421
8,XGBoost,Case-Level,0.923588616381305,0.7726154665032219,0.8413832473377978,0.8853256070323339
8,XGBoost,Fused,0.9246090094907098,0.7809705073509843,0.8467413686819889,0.8902419814929783
9,XGBoost,Case-Level,0.9229293559061915,0.7759865158028016,0.8431032367733908,0.885867604661059
9,XGBoost,Fused,0.9224792193711601,0.7822366670161375,0.8465892477623144,0.8886450871530795
0,Neural Network,Case-Level,0.9184119623337907,0.7826318378670452,0.8451028032499934,0.8819323384343571
0,Neural Network,Fused,0.9232705737104054,0.7719622248925377,0.8408638705511853,0.8838028543960545
1,Neural Network,Case-Level,0.9237667285337501,0.7626474834068566,0.8355104763503515,0.8815678007594044
1,Neural Network,Fused,0.924633642528646,0.7653169028282942,0.8374656376721425,0.8839032105103266
2,Neural Network,Case-Level,0.926078188779238,0.7666395154721485,0.8388500127952843,0.8838288590102203
2,Neural Network,Fused,0.9242701256711765,0.7746316443139754,0.8428608409127805,0.8856632911473825
3,Neural Network,Case-Level,0.9208937198067633,0.7748171326725647,0.8415635607138947,0.882417802429461
3,Neural Network,Fused,0.9240659521527395,0.7697282998782229,0.8398655426690836,0.8841662183193943
4,Neural Network,Case-Level,0.9221444277282722,0.7711396243457503,0.8399088229997935,0.8820097526352401
4,Neural Network,Fused,0.9233920721832344,0.7725106252570627,0.8412395217206114,0.8838655644944604
5,Neural Network,Case-Level,0.9252647179267175,0.7653169028282942,0.8377243896733301,0.882773665835608
5,Neural Network,Fused,0.9239210302420914,0.7706880005161415,0.8403765570793522,0.8846311699646654
6,Neural Network,Case-Level,0.9233426422364721,0.7652685145608361,0.8369067673284355,0.8814973117945407
6,Neural Network,Fused,0.9232132996192636,0.7685266579030138,0.838797982554199,0.8829074288586927
7,Neural Network,Case-Level,0.9228966305411086,0.7684863343467987,0.838643244384989,0.8818010590050371
7,Neural Network,Fused,0.9238379852608367,0.770365412066421,0.8401503990852921,0.8838029516035819
8,Neural Network,Case-Level,0.9233224680309372,0.772139648539884,0.8409906408246264,0.8839929743614882
8,Neural Network,Fused,0.9281074653852579,0.761687782768938,0.836702693125443,0.8856518839026093
9,Neural Network,Case-Level,0.9230732135451327,0.7718493189351355,0.8407150386507378,0.8831312099559984
9,Neural Network,Fused,0.9224514119840828,0.7739703379920482,0.8417128949503365,0.8844466222157803
