Feature,Split,Model,Mean_Abs_SHAP
Year,0,Random Forest,0.00407059441837758
VicAge,0,Random Forest,0.004970579949740952
VicCount,0,Random Forest,0.0006120157921275681
OffCount,0,Random Forest,0.032975981476987395
Monthly_Overlap,0,Random Forest,0.023667554232112583
FTSWORN,0,Random Forest,0.0075645331197526965
PTSWORN,0,Random Forest,0.0007518684245564225
TOTFTEMP,0,Random Forest,0.012980581916047895
OPBUDGET,0,Random Forest,0.012118969371887759
DET_SWN,0,Random Forest,0.009076785876260318
PERS_TRN_ACAD,0,Random Forest,0.0035542137398194996
PERS_TRN_INSVC,0,Random Forest,0.0018004691804296123
PERS_EDU_MIN,0,Random Forest,0.0012516068177138406
PovertyRate,0,Random Forest,0.00259120791831458
UnemploymentRate,0,Random Forest,0.011662667867516605
State_Alabama,0,Random Forest,7.014618496521649e-05
State_Alaska,0,Random Forest,2.7438400381907316e-06
State_Arizona,0,Random Forest,5.3035415428377363e-05
State_Arkansas,0,Random Forest,6.43104528653273e-05
State_California,0,Random Forest,0.007186760631629212
State_Colorado,0,Random Forest,3.188367575939831e-05
State_Connecticut,0,Random Forest,2.4698170257801973e-05
State_Delaware,0,Random Forest,1.844196546793413e-06
State_District of Columbia,0,Random Forest,0.000807698720647467
State_Florida,0,Random Forest,0.0002980594204286848
State_Georgia,0,Random Forest,0.00022145939822283285
State_Hawaii,0,Random Forest,3.9059638502361175e-06
State_Idaho,0,Random Forest,1.6769657959186187e-05
State_Illinois,0,Random Forest,0.00022612335487456797
State_Indiana,0,Random Forest,8.766320778555252e-05
State_Iowa,0,Random Forest,4.19313548634118e-06
State_Kansas,0,Random Forest,3.416008923069603e-05
State_Kentucky,0,Random Forest,1.3511191302312978e-05
State_Louisiana,0,Random Forest,3.509581089848157e-05
State_Maine,0,Random Forest,1.7692852281815498e-06
State_Maryland,0,Random Forest,0.00024003930956586654
State_Massachusetts,0,Random Forest,2.378008213328416e-05
State_Michigan,0,Random Forest,7.986184609383464e-05
State_Minnesota,0,Random Forest,2.0133790461874845e-05
State_Mississippi,0,Random Forest,8.23504061909161e-05
State_Missouri,0,Random Forest,0.00012853847873871602
State_Montana,0,Random Forest,2.2549080680573224e-06
State_Nebraska,0,Random Forest,1.6902271227960514e-06
State_Nevada,0,Random Forest,3.005764645563511e-05
State_New Hampshire,0,Random Forest,5.863917795135069e-07
State_New Jersey,0,Random Forest,0.00014522933102305383
State_New Mexico,0,Random Forest,1.0194526458498357e-05
State_New York,0,Random Forest,0.000664551137816371
State_North Carolina,0,Random Forest,0.0001729189559106326
State_North Dakota,0,Random Forest,2.1272982424656324e-06
State_Ohio,0,Random Forest,4.184566255713583e-05
State_Oklahoma,0,Random Forest,8.358283476226348e-05
State_Oregon,0,Random Forest,5.361468431095471e-06
State_Pennsylvania,0,Random Forest,0.0001299551537139449
State_Rhode Island,0,Random Forest,2.432702078115462e-06
State_South Carolina,0,Random Forest,0.0004163306223248999
State_South Dakota,0,Random Forest,3.0101846967154836e-06
State_Tennessee,0,Random Forest,0.000465949515931656
State_Texas,0,Random Forest,0.0019417102195634596
State_Utah,0,Random Forest,1.8029625666232164e-06
State_Vermont,0,Random Forest,9.349286432270009e-07
State_Virginia,0,Random Forest,0.0001561863942930201
State_Washington,0,Random Forest,2.5349786951915532e-05
State_West Virginia,0,Random Forest,2.7815246423860156e-05
State_Wisconsin,0,Random Forest,2.7376659381991194e-05
State_Wyoming,0,Random Forest,8.871461276137818e-07
Agentype_County police,0,Random Forest,0.00010614217261708977
Agentype_Municipal police,0,Random Forest,0.0057312084549392215
Agentype_Primary federal LE,0,Random Forest,1.435670549677319e-06
Agentype_Primary state LE,0,Random Forest,0.0002882817965049354
Agentype_Regional police,0,Random Forest,6.083474502002516e-07
Agentype_Sheriff,0,Random Forest,0.003518774191386007
Agentype_Special police,0,Random Forest,1.6125790428025498e-06
Agentype_Tribal,0,Random Forest,4.2465560759075595e-06
Month_April,0,Random Forest,3.033835812268864e-05
Month_August,0,Random Forest,3.431502506108139e-05
Month_December,0,Random Forest,0.0001107543551781809
Month_February,0,Random Forest,4.9004452301070756e-05
Month_January,0,Random Forest,4.088110912365861e-05
Month_July,0,Random Forest,3.703986296777349e-05
Month_June,0,Random Forest,3.5744733744323325e-05
Month_March,0,Random Forest,3.19689116163547e-05
Month_May,0,Random Forest,3.955769424864004e-05
Month_November,0,Random Forest,4.971684578730568e-05
Month_October,0,Random Forest,3.156316617613545e-05
Month_September,0,Random Forest,3.323241677285622e-05
VicSex_Female,0,Random Forest,0.008184894486002597
VicSex_Male,0,Random Forest,0.006482630779639385
VicSex_Unknown,0,Random Forest,7.170675436922696e-06
VicRace_American Indian or Alaskan Native,0,Random Forest,9.938015509221839e-06
VicRace_Asian,0,Random Forest,1.855495820640147e-05
VicRace_Black,0,Random Forest,0.005385288792403461
VicRace_Native Hawaiian or Pacific Islander,0,Random Forest,7.565361476156035e-07
VicRace_Unknown,0,Random Forest,2.53720329464371e-05
VicRace_White,0,Random Forest,0.005252803689971213
Weapon_Asphyxiation - includes death by gas,0,Random Forest,5.72510684647075e-06
"Weapon_Blunt object - hammer, club, etc",0,Random Forest,0.00013098931476030016
Weapon_Drowning,0,Random Forest,3.1949205683872446e-06
Weapon_Explosives,0,Random Forest,1.4408170050949113e-06
Weapon_Fire,0,Random Forest,6.139448324665404e-05
"Weapon_Firearm, type not stated",0,Random Forest,0.010049555604773556
"Weapon_Handgun - pistol, revolver, etc",0,Random Forest,0.0017306994441548256
Weapon_Knife or cutting instrument,0,Random Forest,0.00493861918574468
"Weapon_Narcotics or drugs, sleeping pills",0,Random Forest,5.91057798329644e-06
Weapon_Other gun,0,Random Forest,3.9062543000975916e-05
Weapon_Other or type unknown,0,Random Forest,0.001992764749302058
"Weapon_Personal weapons, includes beating",0,Random Forest,0.00151358192303867
Weapon_Poison - does not include gas,0,Random Forest,1.255654353133651e-06
Weapon_Pushed or thrown out window,0,Random Forest,2.6760120016707704e-07
Weapon_Rifle,0,Random Forest,0.000986502929720843
Weapon_Shotgun,0,Random Forest,0.001256602701548355
Weapon_Strangulation - hanging,0,Random Forest,0.00036977709107477235
Weapon_Weapon Not Reported,0,Random Forest,5.242871696017776e-05
Circumstance_All other manslaughter by negligence,0,Random Forest,6.620949998889297e-06
Circumstance_All suspected felony type,0,Random Forest,0.003732787719794294
Circumstance_Argument over money or property,0,Random Forest,0.0026462904219857033
Circumstance_Arson,0,Random Forest,0.00014067346776040762
Circumstance_Brawl due to influence of alcohol,0,Random Forest,0.0027830724961098725
Circumstance_Brawl due to influence of narcotics,0,Random Forest,5.567207698171163e-05
Circumstance_Burglary,0,Random Forest,8.658693149269187e-05
Circumstance_Child killed by babysitter,0,Random Forest,4.352473482193007e-05
Circumstance_Circumstances undetermined,0,Random Forest,0.086509861147051
